,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NB,ERCOT
7864,118.0,,,,0.0,28.0,0.0,74.0,,,,635.0,,63.0,939.0,,3282.0,401.0,0.0,1172.0,0.0,17.0,,80.0,0.0,541.0,2056.0,598.0,,1679.0,573.0,60.0,0.0,0.0
7865,123.0,,,,0.0,28.0,0.0,74.0,,,,1041.0,,64.0,936.0,,3342.0,406.0,0.0,2599.0,0.0,17.0,,17.0,27.0,733.0,2056.0,602.0,,1955.0,610.0,55.0,0.0,0.0
7866,123.0,,,,692.0,37.0,0.0,74.0,,,,1208.0,,84.0,944.0,,3505.0,405.0,0.0,3290.0,0.0,17.0,,11.0,34.0,1212.0,2060.0,601.0,,2368.0,687.0,59.0,0.0,0.0
7867,122.0,,,,1066.0,24.0,43.0,74.0,,,,1205.0,,93.0,1042.0,,3541.0,402.0,0.0,2782.0,0.0,17.0,,11.0,173.0,1682.0,2186.0,659.0,,2849.0,778.0,61.0,0.0,0.0
7868,123.0,,,,1072.0,22.0,42.0,74.0,,,,910.0,,94.0,1049.0,,3510.0,404.0,0.0,2105.0,0.0,17.0,,10.0,244.0,1881.0,2114.0,570.0,,2934.0,866.0,63.0,0.0,0.0
7869,123.0,,,,1055.0,27.0,43.0,74.0,,,,693.0,,93.0,1054.0,,3485.0,403.0,0.0,1080.0,0.0,17.0,,12.0,188.0,1835.0,2117.0,467.0,,2929.0,890.0,59.0,0.0,0.0
7870,121.0,,,,733.0,26.0,42.0,19.0,,,,665.0,,94.0,1050.0,,3364.0,403.0,0.0,978.0,0.0,17.0,,11.0,121.0,1514.0,2158.0,464.0,,2919.0,908.0,61.0,0.0,0.0
7871,3.0,,,,289.0,27.0,7.0,10.0,,,,677.0,,94.0,1036.0,,3161.0,400.0,0.0,718.0,0.0,17.0,,63.0,0.0,1051.0,2065.0,457.0,,2595.0,873.0,60.0,0.0,0.0
7872,0.0,,,,56.0,26.0,0.0,10.0,,,,670.0,,94.0,1002.0,,2959.0,405.0,0.0,444.0,0.0,17.0,,110.0,0.0,654.0,1798.0,406.0,,2394.0,790.0,59.0,0.0,0.0
7873,1.0,,,,50.0,27.0,0.0,9.0,,,,663.0,,94.0,895.0,,2146.0,398.0,0.0,564.0,0.0,17.0,,148.0,0.0,642.0,1599.0,408.0,,1976.0,630.0,48.0,0.0,0.0
7874,0.0,,,,70.0,26.0,0.0,9.0,,,,617.0,,93.0,856.0,,2153.0,398.0,0.0,592.0,0.0,17.0,,131.0,0.0,661.0,1996.0,447.0,,1507.0,593.0,58.0,0.0,0.0
7875,1.0,,,,49.0,27.0,0.0,10.0,,,,577.0,,95.0,853.0,,2173.0,396.0,0.0,612.0,0.0,17.0,,76.0,0.0,470.0,1996.0,446.0,,1508.0,558.0,54.0,0.0,0.0
7876,1.0,,,,355.0,27.0,0.0,10.0,,,,572.0,,92.0,853.0,,2396.0,394.0,0.0,612.0,0.0,17.0,,24.0,0.0,371.0,1996.0,441.0,,1895.0,552.0,58.0,0.0,0.0
7877,4.0,,,,772.0,27.0,0.0,10.0,,,,582.0,,95.0,852.0,,2362.0,395.0,0.0,1254.0,0.0,17.0,,12.0,0.0,369.0,1996.0,437.0,,1991.0,499.0,58.0,0.0,0.0
7878,119.0,,,,1105.0,26.0,0.0,11.0,,,,658.0,,92.0,860.0,,2808.0,393.0,0.0,4321.0,0.0,17.0,,11.0,666.0,531.0,1996.0,442.0,,2393.0,496.0,60.0,0.0,0.0
7879,122.0,,,,2006.0,27.0,33.0,37.0,,,,930.0,,93.0,1341.0,,3352.0,397.0,0.0,4346.0,0.0,17.0,,11.0,992.0,1910.0,1996.0,632.0,,3173.0,572.0,62.0,0.0,0.0
