bus_i,link,lon,lat,typ,State,BA_Assumption
10002,sink,-77.847916,35.803371,station,NC,CPLE
10009,source,-79.134748,35.466598,station,NC,CPLE
10012,sink,-79.402055,35.325717,sub_station,NC,CPLE
10013,source,-79.31093,35.399617,station,NC,CPLE
10014,source,-81.41003,35.721286,station,Outside of NC,DUK
10015,source,-79.08642536,35.81680057,station,NC,DUK
10016,source,-79.826575,35.362602,station,NC,CPLE
10017,source,-80.989114,35.779932,station,NC,DUK
10018,source,-81.948751,35.642999,sub_station,Outside of NC,CPLW
10019,source,-81.95545151,35.64365464,station,NC,CPLW
10029,source,-77.105882,35.838434,station,NC,PJM
10037,sink,-77.292412,35.811607,sub_station,NC,PJM
10038,source,-77.317953,35.806806,substation,NC,CPLE
10039,sink,-77.383885,35.79568,sub_station,NC,CPLE
10048,source,-77.40016,36.411234,station,NC,PJM
10051,source,-80.163599,35.089414,sub_station,NC,DUK
10052,source,-80.085043,34.992047,substation,NC,DUK
10053,sink,-77.6953,36.191352,substation,NC,CPLE
10054,sink,-77.660686,36.451631,substation,NC,CPLE
10058,source,-79.31949704,36.40812863,station,NC,DUK
10123,source,-76.226305,36.314015,station,NC,CPLE
10124,source,-75.700127,36.066547,station,NC,PJM
10125,source,-75.804526,36.084216,station,NC,PJM
10126,sink,-76.301394,36.272119,station,NC,PJM
10127,source,-75.910463,36.331044,station,NC,PJM
10707,source,-78.615096,36.296784,station,NC,DUK
10835,source,-81.121695,36.167804,sub_station,Outside of NC,DUK
10836,source,-81.135882,36.16553,sub_station,Outside of NC,DUK
10875,source,-79.707609,35.789455,station,NC,DUK
11742,source,-81.895078,35.34942,substation,Outside of NC,CPLW
11856,source,-77.818986,35.952235,substation,NC,CPLE
12162,source,-81.927834,35.721993,sub_station,Outside of NC,CPLW
12414,source,-78.28855832,35.79503009,substation,NC,CPLE
12417,sink,-77.110565,35.13667,sub_station,NC,CPLE
12430,source,-78.632319,35.769038,substation,NC,DUK
12432,source,-78.598414,35.76448,substation,NC,DUK
12439,source,-78.678307,35.775445,substation,NC,DUK
13301,source,-80.771278,34.729052,substation,Outside of NC,DUK
13431,source,-79.0665,35.897422,substation,NC,DUK
13780,source,-75.608015,35.920389,substation,NC,PJM
13841,source,-81.692947,35.720133,substation,Outside of NC,DUK
13843,source,-81.747379,35.728823,substation,Outside of NC,DUK
13956,source,-78.34334,35.010483,substation,NC,CPLE
14194,source,-81.437473,35.774539,substation,Outside of NC,DUK
14258,sink,-81.429252,35.770706,substation,Outside of NC,DUK
14283,source,-81.683168,35.739503,substation,Outside of NC,DUK
14301,sink,-81.676335,35.741975,substation,Outside of NC,DUK
14322,source,-81.407179,35.722729,substation,Outside of NC,DUK
14366,sink,-81.716291,35.751076,substation,Outside of NC,DUK
14521,sink,-81.526782,35.737166,substation,Outside of NC,DUK
14549,source,-78.844487,35.870927,substation,NC,DUK
14626,source,-79.7811634,35.36742093,substation,NC,CPLE
14783,sink,-81.723585,35.731705,substation,Outside of NC,DUK
15226,source,-79.113835,34.829228,substation,NC,CPLE
15511,source,-81.8133308,35.3900478,substation,NC,CPLW
15512,source,-81.81813,35.292426,substation,Outside of NC,CPLW
15622,source,-81.331523,35.766419,substation,Outside of NC,DUK
15626,source,-81.341438,35.714581,substation,Outside of NC,DUK
15628,source,-81.289837,35.653962,substation,Outside of NC,DUK
15629,sink,-81.365567,35.717519,substation,Outside of NC,DUK
15630,sink,-81.270657,35.611087,substation,Outside of NC,DUK
15632,sink,-81.240995,35.654426,substation,Outside of NC,DUK
15641,source,-80.29108,35.745911,plant,NC,DUK
15661,source,-81.983588,35.620257,substation,Outside of NC,CPLW
15662,sink,-81.97187663,35.50981729,substation,NC,CPLW
15664,source,-80.849947,36.280835,substation,NC,DUK
15666,sink,-80.92403,36.229787,substation,NC,DUK
15689,source,-79.893798,35.347972,substation,NC,CPLE
15690,source,-79.998107,35.325115,substation,NC,CPLE
15691,source,-80.062241,35.207469,substation,NC,CPLE
15692,source,-80.122088,35.402745,substation,NC,DUK
15775,source,-80.52216459,35.21680371,substation,NC,DUK
15776,source,-80.519821,35.219073,substation,NC,DUK
15777,source,-80.44387,35.253198,substation,NC,DUK
15782,source,-80.56274,34.992878,substation,NC,DUK
16162,sink,-78.94309428,36.01123771,substation,NC,DUK
16281,source,-81.526668,35.862491,substation,Outside of NC,DUK
16289,source,-81.837085,35.742321,substation,Outside of NC,DUK
16404,source,-77.844907,35.05134,substation,NC,CPLE
16490,source,-81.674838,35.726373,substation,Outside of NC,DUK
17072,sink,-78.331982,35.020077,substation,NC,CPLE
17163,sink,-78.018046,34.621453,substation,NC,CPLE
17329,source,-75.673925,36.006104,sub_station,NC,PJM
